Artist,SongTitle,BPM,Key,Genre,Vocal/Instrumental,EnergyLevel,SongStructure,Lyrics/Theme,Instrumentation,CulturalContext,Popularity,Era
TheWeeknd,"BlindingLights",171,CMinor,Pop,Vocal,High,Verse-Chorus,Nostalgia,Synth,Contemporary,VeryHigh,2020s
TheWeeknd,"Can'tFeelMyFace",108,DMinor,Pop,Vocal,High,Verse-Chorus,Fun,Synth,Contemporary,VeryHigh,2010s
TheWeeknd,"Starboy",93,AMinor,R&B,Vocal,High,Verse-Chorus,Bravado,Synth,Contemporary,VeryHigh,2010s
TheWeeknd,"SaveYourTears",118,DMajor,Pop,Vocal,High,Verse-Chorus,Heartbreak,Synth,Contemporary,VeryHigh,2020s
TheWeeknd,"IntheNight",112,G#Minor,R&B,Vocal,High,Verse-Chorus,Nostalgia,Synth,Contemporary,High,2010s
PostMalone,"Circles",120,CMajor,Pop,Vocal,Moderate,Verse-Chorus,Heartbreak,Guitar,Contemporary,VeryHigh,2010s
PostMalone,"Rockstar",160,F#Minor,Hip-Hop,Vocal,High,Verse-Chorus,Bravado,Synth,Contemporary,VeryHigh,2010s
PostMalone,"Sunflower",90,DMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Contemporary,VeryHigh,2010s
PostMalone,"Congratulations",123,C#Major,Hip-Hop,Vocal,High,Verse-Chorus,Celebration,Synth,Contemporary,VeryHigh,2010s
PostMalone,"Goodbyes",150,DMajor,Hip-Hop,Vocal,High,Verse-Chorus,Heartbreak,Synth,Contemporary,VeryHigh,2010s
SelenaGomez,"LoseYoutoLoveMe",102,E♭Major,Pop,Vocal,Moderate,Verse-Chorus,Heartbreak,Piano,Contemporary,VeryHigh,2010s
SelenaGomez,"Come&GetIt",120,EMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Contemporary,VeryHigh,2010s
SelenaGomez,"Wolves",130,F#Minor,Dance,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,High,2010s
SelenaGomez,"Rare",117,BMajor,Pop,Vocal,High,Verse-Chorus,Self-Love,Synth,Contemporary,High,2020s
SelenaGomez,"SameOldLove",101,AMinor,Pop,Vocal,High,Verse-Chorus,Heartbreak,Synth,Contemporary,VeryHigh,2010s
ArianaGrande,"ThankU,Next",106,BMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,VeryHigh,2010s
ArianaGrande,"7Rings",140,CMinor,Pop,Vocal,High,Verse-Chorus,Luxury,Synth,Contemporary,VeryHigh,2010s
ArianaGrande,"NoTearsLefttoCry",122,E♭Major,Pop,Vocal,High,Verse-Chorus,Resilience,Synth,Contemporary,VeryHigh,2010s
ArianaGrande,"IntoYou",108,BMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Contemporary,VeryHigh,2010s
ArianaGrande,"BreakFree",130,FMajor,Dance,Vocal,High,Verse-Chorus,Liberation,Synth,Contemporary,VeryHigh,2010s
OliviaRodrigo,"driverslicense",144,GMajor,Pop,Vocal,Moderate,Verse-Chorus,Heartbreak,Piano,Contemporary,VeryHigh,2020s
OliviaRodrigo,"good4u",166,EMajor,Pop,Vocal,High,Verse-Chorus,Angst,Guitar,Contemporary,VeryHigh,2020s
OliviaRodrigo,"dejavu",146,EMajor,Pop,Vocal,High,Verse-Chorus,Nostalgia,Synth,Contemporary,VeryHigh,2020s
OliviaRodrigo,"traitor",91,AMajor,Pop,Vocal,Moderate,Verse-Chorus,Heartbreak,Piano,Contemporary,High,2020s
OliviaRodrigo,"brutal",155,EMajor,Pop,Vocal,High,Verse-Chorus,Self-Discovery,Guitar,Contemporary,VeryHigh,2020s
DuaLipa,"Don'tStartNow",123,AMinor,Dance,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,VeryHigh,2010s
DuaLipa,"Levitating",103,BMinor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Contemporary,VeryHigh,2020s
DuaLipa,"NewRules",116,AMinor,Dance,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,VeryHigh,2010s
DuaLipa,"Physical",147,AMajor,Dance,Vocal,High,Verse-Chorus,Energy,Synth,Contemporary,High,2020s
DuaLipa,"IDGAF",97,DMinor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,High,2010s
BTS,"Dynamite",114,DMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,VeryHigh,2020s
BTS,"BoyWithLuv",120,GMajor,Pop,Vocal,High,Verse-Chorus,Love,Synth,Korean,VeryHigh,2010s
BTS,"FakeLove",105,C#Minor,Pop,Vocal,High,Verse-Chorus,Heartbreak,Synth,Korean,VeryHigh,2010s
BLACKPINK,"DDU-DUDDU-DU",128,C#Minor,Hip-Hop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
BLACKPINK,"HowYouLikeThat",130,BMinor,Hip-Hop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2020s
TWICE,"Fancy",120,GMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
TWICE,"FeelSpecial",125,CMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
RedVelvet,"Psycho",110,FMajor,Pop,Vocal,High,Verse-Chorus,Drama,Synth,Korean,High,2010s
RedVelvet,"BadBoy",90,DMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
StrayKids,"God'sMenu",150,FMajor,Hip-Hop,Vocal,High,Verse-Chorus,Swagger,Synth,Korean,High,2020s
StrayKids,"BackDoor",118,CMajor,Hip-Hop,Vocal,High,Verse-Chorus,Confidence,Synth,Korean,High,2020s
ATEEZ,"Answer",120,GMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2020s
ATEEZ,"Fireworks(I'mTheOne)",102,CMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
ITZY,"Wannabe",115,AMinor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2020s
ITZY,"NotShy",116,EMajor,Pop,Vocal,High,Verse-Chorus,Confidence,Synth,Korean,High,2020s
NCTU,"MakeAWish(BirthdaySong)",140,DMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
NCTU,"90'sLove",122,AMajor,Pop,Vocal,High,Verse-Chorus,Nostalgia,Synth,Korean,High,2020s
ATEEZ,"Wave",98,EMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2010s
SuperM,"One(Monster&Infinity)",130,EMinor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2020s
MAMAMOO,"HIP",100,DMajor,Hip-Hop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
MAMAMOO,"StarryNight",76,CMajor,Pop,Vocal,Moderate,Verse-Chorus,Nostalgia,AcousticGuitar,Korean,High,2010s
TWICE,"CheerUp",160,GMajor,Pop,Vocal,High,Verse-Chorus,Fun,Synth,Korean,VeryHigh,2010s
IZ*ONE,"LaVieenRose",128,CMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Korean,VeryHigh,2010s
IZ*ONE,"Violeta",94,F#Minor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2010s
SEVENTEEN,"Left&Right",123,AMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
SEVENTEEN,"Fear",90,DMinor,Hip-Hop,Vocal,High,Verse-Chorus,Introspection,Synth,Korean,High,2010s
BTS,"Butter",110,C#Major,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,VeryHigh,2020s
TWICE,"Likey",97,CMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
BLACKPINK,"AsIfIt'sYourLast",130,EMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Korean,VeryHigh,2010s
TWICE,"TT",87,DMinor,Pop,Vocal,High,Verse-Chorus,Playfulness,Synth,Korean,VeryHigh,2010s
TXT,"CROWN",90,EMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2010s
IZ*ONE,"Fiesta",130,FMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
MAMAMOO,"HIP",100,DMajor,Hip-Hop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
MAMAMOO,"StarryNight",76,CMajor,Pop,Vocal,Moderate,Verse-Chorus,Nostalgia,AcousticGuitar,Korean,High,2010s
TWICE,"CheerUp",160,GMajor,Pop,Vocal,High,Verse-Chorus,Fun,Synth,Korean,VeryHigh,2010s
IZ*ONE,"LaVieenRose",128,CMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Korean,VeryHigh,2010s
IZ*ONE,"Violeta",94,F#Minor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2010s
SEVENTEEN,"Left&Right",123,AMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
SEVENTEEN,"Fear",90,DMinor,Hip-Hop,Vocal,High,Verse-Chorus,Introspection,Synth,Korean,High,2010s
BTS,"Butter",110,C#Major,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,VeryHigh,2020s
TWICE,"Likey",97,CMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,VeryHigh,2010s
BLACKPINK,"AsIfIt'sYourLast",130,EMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Korean,VeryHigh,2010s
TWICE,"TT",87,DMinor,Pop,Vocal,High,Verse-Chorus,Playfulness,Synth,Korean,VeryHigh,2010s
TXT,"CROWN",90,EMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Korean,High,2010s
IZ*ONE,"Fiesta",130,FMajor,Pop,Vocal,High,Verse-Chorus,Celebration,Synth,Korean,High,2020s
Badshah,"KarGayiChull",95,FMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
NehaKakkar,"AankhMaarey",108,GMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
ArijitSingh,"TheBreakupSong",118,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
MikaSingh,"AajKiParty",130,AMajor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,High,2010s
YoYoHoneySingh,"AngrejiBeat",108,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
NehaKakkar,"KalaChashma",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"Lahore",93,F#Minor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,VeryHigh,2010s
AasthaGill,"Buzz",105,GMinor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Indian,High,2010s
Badshah,"Tareefan",98,FMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NoraFatehi,"Dilbar",110,C#Minor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
NehaKakkar,"OSakiSaki",95,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
MikaSingh,"JummeKiRaat",128,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2010s
Badshah,"GendaPhool",85,DMinor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2020s
NoraFatehi,"Kamariya",120,EMinor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2010s
NehaKakkar,"CheezBadi",106,GMinor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,High,2010s
HarrdySandhu,"Naah",96,FMinor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,High,2010s
NehaKakkar,"DheemeDheeme",95,GMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
AasthaGill,"SaaraIndia",108,AMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
Badshah,"TakiTaki",95,BMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
GuruRandhawa,"BanJaRani",85,BMajor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,VeryHigh,2010s
NehaKakkar,"Garmi",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2020s
Badshah,"SheMoveItLike",102,FMajor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,High,2010s
MikaSingh,"ShakeThatBooty",130,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2010s
NoraFatehi,"EkTohKumZindagani",128,CMinor,Dance,Vocal,High,Verse-Chorus,Empowerment,Synth,Indian,High,2010s
GuruRandhawa,"HighRatedGabru",96,GMajor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NehaKakkar,"GaliGali",105,DMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
Badshah,"MunnaBadnaamHua",138,EMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
AasthaGill,"DJWaleyBabu",110,DMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
MikaSingh,"Billo",130,AMajor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,High,2010s
NoraFatehi,"Dilbar(From"SatyamevaJayate")",106,C#Minor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"SuitSuit",96,FMajor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
Badshah,"AbhiTohPartyShuruHuiHai",108,GMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NehaKakkar,"KalaChashma(From"BaarBaarDekho")",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
AasthaGill,"ProperPatola",126,EMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
MikaSingh,"AankhMarey",112,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NoraFatehi,"OSakiSaki(From"BatlaHouse")",110,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
GuruRandhawa,"LagdiHaiThaai",96,F#Major,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
Badshah,"Garmi(From"StreetDancer3D")",104,EMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2020s
NehaKakkar,"SunnySunny",128,DMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
AasthaGill,"Kamariya(From"Stree")",122,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2010s
MikaSingh,"AankhMarey(From"Simmba")",118,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NoraFatehi,"DheemeDheeme(From"PatiPatniAurWoh")",96,GMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
Badshah,"Paagal",105,DMinor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,VeryHigh,2010s
NehaKakkar,"GoaBeach",95,AMajor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,High,2020s
AasthaGill,"Buzz(From"Kaarwan")",108,GMajor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Indian,High,2010s
MikaSingh,"DhinkaChika",130,FMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
NoraFatehi,"SakiSaki(From"BatlaHouse")",110,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
Badshah,"Chull",95,FMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
NehaKakkar,"AankhMaarey(From"Simmba")",108,GMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
ArijitSingh,"TheBreakupSong(From"AeDilHaiMushkil")",118,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
MikaSingh,"AajKiParty(From"BajrangiBhaijaan")",130,AMajor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,High,2010s
YoYoHoneySingh,"AngrejiBeat(From"Cocktail")",108,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
NehaKakkar,"KalaChashma(From"BaarBaarDekho")",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"Lahore",93,F#Minor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,VeryHigh,2010s
AasthaGill,"Buzz",105,GMinor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Indian,High,2010s
Badshah,"Tareefan(From"VeereDiWedding")",98,FMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NoraFatehi,"Dilbar(From"SatyamevaJayate")",110,C#Minor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"HighRatedGabru",96,GMajor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NehaKakkar,"GaliGali(From"KGFChapter1")",105,DMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
Badshah,"MunnaBadnaamHua(From"Dabangg3")",138,EMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
AasthaGill,"DJWaleyBabu",110,DMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
MikaSingh,"Billo(From"EkDujeyKeLiye")",130,AMajor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,High,2010s
NoraFatehi,"OSakiSaki(From"BatlaHouse")",110,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
GuruRandhawa,"SuitSuit",96,FMajor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
Badshah,"AbhiTohPartyShuruHuiHai",108,GMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NehaKakkar,"KalaChashma(From"BaarBaarDekho")",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
AasthaGill,"ProperPatola",126,EMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
MikaSingh,"AankhMarey",112,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NoraFatehi,"SakiSaki(From"BatlaHouse")",110,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
GuruRandhawa,"LagdiHaiThaai",96,F#Major,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
Badshah,"Garmi(From"StreetDancer3D")",104,EMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2020s
NehaKakkar,"SunnySunny",128,DMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
AasthaGill,"Kamariya(From"Stree")",122,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2010s
MikaSingh,"AankhMarey(From"Simmba")",118,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,VeryHigh,2010s
NoraFatehi,"DheemeDheeme(From"PatiPatniAurWoh")",96,GMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
Badshah,"Paagal",105,DMinor,Dance,Vocal,High,Verse-Chorus,Flirtation,Synth,Indian,VeryHigh,2010s
NehaKakkar,"GoaBeach",95,AMajor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,High,2020s
AasthaGill,"Buzz(From"Kaarwan")",108,GMajor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Indian,High,2010s
MikaSingh,"DhinkaChika",130,FMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
NoraFatehi,"SakiSaki(From"BatlaHouse")",110,AMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,VeryHigh,2010s
Badshah,"Chull",95,FMajor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
NehaKakkar,"AankhMaarey(From"Simmba")",108,GMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
ArijitSingh,"TheBreakupSong(From"AeDilHaiMushkil")",118,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
MikaSingh,"AajKiParty(From"BajrangiBhaijaan")",130,AMajor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,High,2010s
YoYoHoneySingh,"AngrejiBeat(From"Cocktail")",108,CMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
NehaKakkar,"KalaChashma(From"BaarBaarDekho")",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"Lahore",93,F#Minor,Dance,Vocal,High,Verse-Chorus,Romance,Synth,Indian,VeryHigh,2010s
AasthaGill,"Buzz",105,GMinor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Indian,High,2010s
Badshah,"Tareefan(From"VeereDiWedding")",98,FMinor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NoraFatehi,"Dilbar(From"SatyamevaJayate")",110,C#Minor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,VeryHigh,2010s
GuruRandhawa,"HighRatedGabru",96,GMajor,Dance,Vocal,High,Verse-Chorus,Swagger,Synth,Indian,High,2010s
NehaKakkar,"GaliGali(From"KGFChapter1")",105,DMinor,Dance,Vocal,High,Verse-Chorus,Party,Synth,Indian,High,2010s
Badshah,"MunnaBadnaamHua(From"Dabangg3")",138,EMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
AasthaGill,"DJWaleyBabu",110,DMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Synth,Indian,High,2010s
"ArijitSingh","TumHiHo",80,CMinor,Romantic,Vocal,High,Verse-Chorus,Love,Piano,Indian,VeryHigh,2010s
"Shankar-Ehsaan-Loy","DilChahtaHai",100,AMajor,Pop,Vocal,Moderate,Verse-Chorus-Bridge,Friendship,Guitar,Indian,High,2000s
"Pritam","BadtameezDil",128,FMajor,Dance,Vocal,High,Verse-Chorus,Fun,Synth,Contemporary,High,2010s
"A.R.Rahman","ChaiyyaChaiyya",110,DMinor,Fusion,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,1990s
"Ajay-Atul","Zingaat",160,BMajor,Dance,Vocal,VeryHigh,Verse-Chorus,Celebration,Drums,Indian,VeryHigh,2010s
"AnuMalik","TammaTammaLoge",108,CMajor,Dance,Vocal,High,Verse-Chorus-Bridge,Party,Synth,Indian,High,1990s
"Shankar-Ehsaan-Loy","Senorita",120,EMajor,Romantic,Vocal,Moderate,Verse-Chorus,Love,Guitar,Contemporary,High,2010s
"A.R.Rahman","LungiDance",130,CMajor,Dance,Vocal,High,Verse-Chorus,Tribute,Percussion,Indian,VeryHigh,2010s
"Pritam","Kabira",90,GMajor,Fusion,Vocal,Moderate,Verse-Chorus,Folk,Guitar,Indian,High,2010s
"Pritam","ChannaMereya",70,DMajor,Emotional,Vocal,Moderate,Verse-Chorus,Heartbreak,Piano,Indian,High,2010s
"Pritam","Radha",140,FMajor,Dance,Vocal,High,Verse-Chorus,Love,Synth,Indian,High,2010s
"YoYoHoneySingh","DheereDheere",95,AMajor,Romantic,Vocal,Moderate,Verse-Chorus,Love,Piano,Indian,High,2010s
"Badshah","KalaChashma",100,GMinor,Dance,Vocal,High,Verse-Chorus,Party,Percussion,Indian,VeryHigh,2010s
"Anand-Milind","AeMereHumsafar",80,DMajor,Romantic,Vocal,Moderate,Verse-Chorus,Love,Guitar,Indian,High,1990s
"HarrisJayaraj","ZaraZara",95,CMajor,Romantic,Vocal,Moderate,Verse-Chorus,Love,Piano,Indian,High,2000s
"Pritam","DesiGirl",120,EMajor,Dance,Vocal,High,Verse-Chorus,Celebration,Percussion,Indian,High,2000s
